title;category;subcategory;authors;publicate_at;year;link;date;ml_score;text;tags
First Order Generative Adversarial Networks;Education & Research;Machine Learning;Seward, Unterthiner, Bergmann, Jetchev, Hochreiter;ICML 2018 (06/2018);2018;https://arxiv.org/abs/1802.04591;13.02.18;1;GANs excel at learning high dimensional distributions, but they can update generator parameters in directions that do not correspond to the steepest descent direction of the objective. Prominent examples of problematic update directions include those used in both Goodfellow's original GAN and the WGAN-GP. To formally describe an optimal update direction, we introduce a theoretical framework which allows the derivation of requirements on both the divergence and corresponding method for determining an update direction, with these requirements guaranteeing unbiased mini-batch updates in the direction of steepest descent. We propose a novel divergence which approximates the Wasserstein distance while regularizing the critic's first order information. Together with an accompanying update direction, this divergence fulfills the requirements for unbiased steepest descent updates. We verify our method, the First Order GAN, with image generation on CelebA, LSUN and CIFAR-10 and set a new state of the art on the One Billion Word language generation task. Code to reproduce experiments is available.;GAN
Syntax-Aware Language Modeling with Recurrent Neural Networks;Education & Research;Machine Learning;Blythe, Akbik, Vollgraf;arxiv (03/2018);2018;https://arxiv.org/abs/1803.03665;02.03.18;1;"Neural language models (LMs) are typically trained using only lexical features, such as surface forms of words. In this paper, we argue this deprives the LM of crucial syntactic signals that can be detected at high confidence using existing parsers. We present a simple but highly effective approach for training neural LMs using both lexical and syntactic information, and a novel approach for applying such LMs to unparsed text using sequential Monte Carlo sampling. In experiments on a range of corpora and corpus sizes, we show our approach consistently outperforms standard lexical LMs in character-level language modeling; on the other hand, for word-level models the models are on a par with standard language models. These results indicate potential for expanding LMs beyond lexical surface features to higher-level NLP features for character-level models.";NLP, Language Model
Street2Fashion2Shop: Enabling Visual Search in Fashion e-Commerce Using Studio Images;Wholesale & Retail;Machine Learning;Lasserre, Bracher, Vollgraf;ICPRAM 2018: Pattern Recognition Applications and Methods;2018;https://link.springer.com/chapter/10.1007/978-3-030-05499-1_1;05.01.19;1;Visual search, in particular the street-to-shop task of matching fashion items displayed in everyday images with similar articles, is a challenging and commercially important task in computer vision. Building on our successful Studio2Shop model [20], we report results on Street2Fashion2Shop, a pipeline architecture that stacks Studio2Fashion, a segmentation model responsible for eliminating the background in a street image, with Fashion2Shop, an improved model matching the remaining foreground image with “title images”, front views of fashion articles on a white background. Both segmentation and product matching rely on deep convolutional neural networks. The pipeline allows us to circumvent the lack of quality annotated wild data by leveraging specific data sets at all steps. We show that the use of fashion-specific training data leads to superior performance of the segmentation model. Studio2Shop built its performance on FashionDNA, an in-house product representation trained on the rich, professionally curated Zalando catalogue. Our study presents a substantially improved version of FashionDNA that boosts the accuracy of the matching model. Results on external datasets confirm the viability of our approach.;Visual search, Computer vision, Deep learning, Product matching, Fashion 
Studio2Shop: from photo shoots to fashion articles;Wholesale & Retail;Machine Learning;Lasserre, Rasch, Vollgraf;ICPRAM, Classification and Object Recognition (01/2018);2018;http://www.scitepress.org/PublicationsDetail.aspx?ID=hT0FJ9RWeJs=&t=1;;1;Fashion is an increasingly important topic in computer vision, in particular the so-called street-to-shop task of matching street images with shop images containing similar fashion items. Solving this problem promises new means of making fashion searchable and helping shoppers find the articles they are looking for. This paper focuses on finding pieces of clothing worn by a person in full-body or half-body images with neutral backgrounds. Such images are ubiquitous on the web and in fashion blogs, and are typically studio photos, we refer to this setting as studio-to-shop. Recent advances in computational fashion include the development of domain-specific numerical representations. Our model Studio2Shop builds on top of such representations and uses a deep convolutional network trained to match a query image to the numerical feature vectors of all the articles annotated in this image. Top-k retrieval evaluation on test query images shows that the correct items are most often found within a range that is sufficiently small for building realistic visual search engines for the studio-to-shop setting.;Computer Vision, Deep Learning, Fashion, Item Recognition, Street-to-shop, Pattern Recognition
Neural Simpletrons – Learning in the Limit of Few Labels with Directed Generative Networks;Education & Research;Machine Learning;Forster (ext.), Sheikh, Lücke (ext.);NIPS, Learning with Limited Data (LLD) Workshop (12/2017);2017;https://lld-workshop.github.io/papers/LLD_2017_paper_6.pdf;;1;;GAN
Stochastic Maximum Likelihood Optimization via Hypernetworks;Education & Research;Machine Learning;Sheikh, Rasul, Merentitis, Bergmann;NIPS, Bayesian Deep Learning Workshop (12/2017);2017;https://arxiv.org/abs/1712.01141;04.12.17;1;This work explores maximum likelihood optimization of neural networks through hypernetworks. A hypernetwork initializes the weights of another network, which in turn can be employed for typical functional tasks such as regression and classification. We optimize hypernetworks to directly maximize the conditional likelihood of target variables given input. Using this approach we obtain competitive empirical results on regression and classification benchmarks.;Bayesian, DL
GANosaic: Mosaic Creation with Generative Texture Manifolds;Education & Research;Machine Learning;Jetchev, Bergmann, Seward;NIPS, Machine Learning for Creativity and Design Workshop (12/2017);2017;https://arxiv.org/abs/1712.00269;01.12.17;1;This paper presents a novel framework for generating texture mosaics with convolutional neural networks. Our method is called GANosaic and performs optimization in the latent noise space of a generative texture model, which allows the transformation of a content image into a mosaic exhibiting the visual properties of the underlying texture manifold. To represent that manifold, we use a state-of-the-art generative adversarial method for texture synthesis, which can learn expressive texture representations from data and produce mosaic images with very high resolution. This fully convolutional model generates smooth (without any visible borders) mosaic images which morph and blend different textures locally. In addition, we develop a new type of differentiable statistical regularization appropriate for optimization over the prior noise space of the PSGAN model.;GAN, CV, Pattern Recognition
The Conditional Analogy GAN: Swapping Fashion Articles on People Images;Wholesale & Retail;Machine Learning;Jetchev, Bergmann;ICCV: Computer Vision for Fashion Workshop (10/2017);2017;https://arxiv.org/abs/1709.04695;14.09.17;1;We present a novel method to solve image analogy problems : it allows to learn the relation between paired images present in training data, and then generalize and generate images that correspond to the relation, but were never seen in the training set. Therefore, we call the method Conditional Analogy Generative Adversarial Network (CAGAN), as it is based on adversarial training and employs deep convolutional neural networks. An especially interesting application of that technique is automatic swapping of clothing on fashion model photos. Our work has the following contributions. First, the definition of the end-to-end trainable CAGAN architecture, which implicitly learns segmentation masks without expensive supervised labeling data. Second, experimental results show plausible segmentation masks and often convincing swapped images, given the target article. Finally, we discuss the next steps for that technique: neural network architecture improvements and more advanced applications.;GAN, CV, Pattern Recognition
CROWD-IN-THE-LOOP: A Hybrid Approach for Annotating Semantic Roles;Education & Research;Machine Learning;Wang (ext.), Akbik, Li (ext.), Xia (ext.), Xu (ext.);EMNLP (09/2017);2017;http://www.aclweb.org/anthology/D17-1205;;1;Crowdsourcing has proven to be an effective method for generating labeled data for a range of NLP tasks. However, multiple recent attempts of using crowdsourcing to generate gold-labeled training data for semantic role labeling (SRL) reported only modest results, indicating that SRL is perhaps too difficult a task to be effectively crowdsourced. In this paper, we postulate that while producing SRL annotation does require expert involvement in general, a large subset of SRL labeling tasks is in fact appropriate for the crowd. We present a novel workflow in which we employ a classifier to identify difficult annotation tasks and route each task either to experts or crowd workers according to their difficulties. Our experimental evaluation shows that the proposed approach reduces the workload for experts by over two-thirds, and thus significantly reduces the cost of producing SRL annotation at little loss in quality.;NLP, SVM, Classifier
Fashion-MNIST: a Novel Image Dataset for Benchmarking Machine Learning Algorithms;Education & Research;Machine Learning;Xiao, Rasul, Vollgraf;arXiv (08/2017);2017;https://arxiv.org/abs/1708.07747;25.08.17;1;We present Fashion-MNIST, a new dataset comprising of 28x28 grayscale images of 70,000 fashion products from 10 categories, with 7,000 images per category. The training set has 60,000 images and the test set has 10,000 images. Fashion-MNIST is intended to serve as a direct drop-in replacement for the original MNIST dataset for benchmarking machine learning algorithms, as it shares the same image size, data format and the structure of training and testing splits. The dataset is freely available at this URL: https://github.com/zalandoresearch/fashion-mnist;CV, Pattern Recognition
An LSTM-Based Dynamic Customer Model for Fashion Recommendation;Wholesale & Retail;Machine Learning;Heinz, Bracher, Vollgraf;RecTemp: Workshop (08/2017);2017;https://research.zalando.com/welcome/mission/publications/;;1;;LSTM, Recommender
Learning Texture Manifolds with the Periodic Spatial GAN;Education & Research;Machine Learning;Bergmann, Jetchev, Vollgraf;ICML (08/2017);2017;http://proceedings.mlr.press/v70/bergmann17a.html;;1;This paper introduces a novel approach to texture synthesis based on generative adversarial networks (GAN) (Goodfellow et al., 2014), and call this technique Periodic Spatial GAN (PSGAN). The PSGAN has several novel abilities which surpass the current state of the art in texture synthesis. First, we can learn multiple textures, periodic or non-periodic, from datasets of one or more complex large images. Second, we show that the image generation with PSGANs has properties of a texture manifold: we can smoothly interpolate between samples in the structured noise space and generate novel samples, which lie perceptually between the textures of the original dataset. We make multiple experiments which show that PSGANs can flexibly handle diverse texture and image data sources, and the method is highly scalable and can generate output images of arbitrary large size.;GAN
Texture synthesis with spatial generative adversarial networks;Education & Research;Machine Learning;Jetchev, Bergmann, Vollgraf;NIPS, Adversarial Learning Workshop (12/2016);2016;https://arxiv.org/abs/1611.08207;24.11.16;1;Generative adversarial networks (GANs) are a recent approach to train generative models of data, which have been shown to work particularly well on image data. In the current paper we introduce a new model for texture synthesis based on GAN learning. By extending the input noise distribution space from a single vector to a whole spatial tensor, we create an architecture with properties well suited to the task of texture synthesis, which we call spatial GAN (SGAN). To our knowledge, this is the first successful completely data-driven texture synthesis method based on GANs. Our method has the following features which make it a state of the art algorithm for texture synthesis: high image quality of the generated textures, very high scalability w.r.t. the output texture size, fast real-time forward generation, the ability to fuse multiple diverse source images in complex textures. To illustrate these capabilities we present multiple experiments with different classes of texture images and use cases. We also discuss some limitations of our method with respect to the types of texture images it can synthesize, and compare it to other neural techniques for texture generation.;GAN, CV, Pattern Recognition
Fashion DNA: Merging content and sales data for recommendation and article mapping;Education & Research;Machine Learning;Bracher, Heinz, Vollgraf;arXiv (09/2016);2016;https://arxiv.org/abs/1609.02489;08.09.16;1;"We present a method to determine Fashion DNA, coordinate vectors locating fashion items in an abstract space. Our approach is based on a deep neural network architecture that ingests curated article information such as tags and images, and is trained to predict sales for a large set of frequent customers. In the process, a dual space of customer style preferences naturally arises. Interpretation of the metric of these spaces is straightforward: The product of Fashion DNA and customer style vectors yields the forecast purchase likelihood for the customer-item pair, while the angle between Fashion DNA vectors is a measure of item similarity. Importantly, our models are able to generate unbiased purchase probabilities for fashion items based solely on article information, even in absence of sales data, thus circumventing the ""cold-start problem"" of collaborative recommendation approaches. Likewise, it generalizes easily and reliably to customers outside the training set. We experiment with Fashion DNA models based on visual and/or tag item data, evaluate their recommendation power, and discuss the resulting article similarities.";DL, Forecasting, Recommender
