author;contributors;created_at;description;description2;industry;language_primary;languages;license;link;ml_detected;ml_libs;ml_tags;ml_terms;name;pushed_at;scraped_at;stars;stars_score;title;type
alchemyst;5;2015-09-02 17:56:42;Jupyter notebooks for Dynamics and Control;Jupyter notebooks for Dynamics and Control;;Jupyter Notebook;['Jupyter Notebook: 99.5%', 'Other: 0.5%'];GPL-3.0;https://github.com/alchemyst/Dynamics-and-Control;0.8;['keras', 'pattern', 'sklearn'];['AI', 'CV', 'Classification', 'Linear Regression', 'ML', 'NN', 'Recommender', 'Regression'];[];;2020-07-18 14:01:14;2020-12-20 08:44:28;76.0;0.479;Dynamics-and-Control;
alexcfleming;0;2017-11-22 03:06:21;Alex Fleming's solution work in Python on Deep Learning;Alex Fleming's solution work in Python on Deep Learning;;Jupyter Notebook;['Jupyter Notebook: 99.6%', 'Python: 0.4%'];;https://github.com/alexcfleming/Python_DL_Working_Notebooks;1.0;['caffe', 'keras', 'pattern', 'sklearn', 'tensorflow', 'vocabulary'];['AI', 'ANN', 'AlexNet', 'CNN', 'CV', 'Chatbot', 'Classification', 'Clustering', 'DL', 'GRU', 'LSTM', 'Logistic Regression', 'ML', 'Machine Translation', 'NER', 'NLP', 'NN', 'Object Detection', 'RNN', 'ReLu', 'Recommender', 'Regression', 'ResNet', 'Speech Recognition', 'Supervised Learning', 'VGG'];['DL', 'deep learning'];;2018-02-15 06:57:31;2020-12-20 08:51:01;15.0;0.34;Python_DL_Working_Notebooks;
algorithmiaio;0;2016-01-12 20:02:40;;;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/algorithmiaio/awesome-ipython-notebooks;0.8;['nltk', 'pattern', 'sklearn', 'vocabulary'];['AI', 'Classification', 'ML', 'NLP', 'Regression', 'Sentiment Analysis'];[];;2016-04-27 17:54:51;2020-12-20 08:48:40;46.0;0.439;awesome-ipython-notebooks;
Alireza-Akhavan;0;2019-12-02 18:36:15;RNN(SimpleRNN, LSTM, GRU) Tensorflow2.0 & Keras Notebooks (Workshop materials);RNN(SimpleRNN, LSTM, GRU) Tensorflow2.0 & Keras Notebooks (Workshop materials);;Jupyter Notebook;['Jupyter Notebook: 99.7%', 'Python: 0.3%'];;https://github.com/Alireza-Akhavan/rnn-notebooks;1.0;['keras', 'pattern', 'sklearn', 'tensorflow', 'vocabulary'];['AI', 'CNN', 'Classification', 'GRU', 'LSTM', 'Machine Translation', 'NLP', 'NN', 'RNN', 'ReLu'];['CNN', 'NLP', 'NN', 'RNN', 'classif', 'gru', 'layer', 'loss', 'lstm', 'model', 'predict', 'recogn', 'text classification', 'train'];;2020-02-11 15:56:32;2020-12-19 22:22:49;45.0;0.437;rnn-notebooks;
allegroai;0;2019-06-10 09:12:14;TRAINS Jupyter Notebook Plugin - Add GIT Support For Jupyter Notebook;TRAINS Jupyter Notebook Plugin - Add GIT Support For Jupyter Notebook;;Python;['Python: 53.1%', 'JavaScript: 45.0%', 'Shell: 1.9%'];Apache-2.0;https://github.com/allegroai/trains-jupyter-plugin;1.0;['pattern'];['AI', 'Classification', 'DL'];['recommend', 'train'];;2020-04-01 12:30:02;2020-12-19 23:27:02;38.0;0.423;trains-jupyter-plugin;
altair-viz;7;2018-04-27 21:21:29;Notebooks for the Altair tutorial;Notebooks for the Altair tutorial;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/altair-viz/altair-tutorial;0.8;['pattern'];['RL'];[];;2020-05-26 01:19:15;2020-12-19 22:30:43;264.0;0.567;altair-tutorial;
amitsaha;0;2016-05-31 18:10:30;;;;HTML;['HTML: 39.6%', 'JavaScript: 28.1%', 'CSS: 20.9%', 'Jupyter Notebook: 11.4%'];MIT;https://github.com/amitsaha/jupyter-notebook-slides;1.0;['statsmodels'];['Linear Regression', 'ML', 'Recommender', 'Regression'];['ML', 'RL', 'fit', 'gru', 'layer', 'recommend', 'train'];;2017-06-14 05:40:33;2020-12-20 08:44:31;17.0;0.352;jupyter-notebook-slides;
amueller;11;2016-05-29 18:29:47;"Notebooks and code for the book ""Introduction to Machine Learning with Python""";"Notebooks and code for the book ""Introduction to Machine Learning with Python""";;Jupyter Notebook;['Jupyter Notebook: 99.6%', 'Python: 0.4%'];;https://github.com/amueller/introduction_to_ml_with_python;1.0;['nltk', 'sklearn', 'spacy', 'vocabulary'];['CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'GBM', 'Gradient Boosting', 'K-Means', 'KNN', 'Linear Regression', 'Logistic Regression', 'ML', 'NN', 'Naive Bayes', 'Random Forest', 'ReLu', 'Recommender', 'Regression', 'Sentiment Analysis', 'Supervised Learning', 'Support Vector Machines', 'Unsupervised learning'];['CV', 'decision tree', 'label', 'machine learning', 'model', 'neural network', 'recommend', 'train'];;2020-10-15 18:19:04;2020-12-19 22:42:10;5106.0;0.722;introduction_to_ml_with_python;
Anaconda-Platform;3;2015-10-20 20:07:06;next generation slides for Jupyter Notebooks;next generation slides for Jupyter Notebooks;;Jupyter Notebook;['Jupyter Notebook: 65.6%', 'JavaScript: 24.7%', 'Python: 4.0%', 'CSS: 2.9%', 'Makefile: 1.3%', 'Batchfile: 1.2%', 'Smarty: 0.3%'];;https://github.com/Anaconda-Platform/nbpresent;1.0;['pattern'];['ANN', 'Classification', 'ML', 'NER', 'NN', 'RL'];['ML'];;2020-06-22 23:09:17;2020-12-20 08:52:05;157.0;0.532;nbpresent;
anurag;4;2017-01-23 01:38:56;Docker environment for fast.ai Deep Learning Course 1 at http://course.fast.ai;Docker environment for fast.ai Deep Learning Course 1 at http://course.fast.ai;;Python;['Python: 90.6%', 'Dockerfile: 9.1%', 'Shell: 0.3%'];MIT;https://github.com/anurag/fastai-course-1;1.0;['pattern'];['ML', 'RL', 'Recommender'];['deep learning'];;2020-08-28 15:17:07;2020-12-19 23:32:33;98.0;0.498;fastai-course-1;
apache;40;2019-09-19 04:00:17;Submarine is Cloud Native Machine Learning Platform.;Submarine is Cloud Native Machine Learning Platform.;;Java;['Java: 53.2%', 'Python: 11.3%', 'Shell: 9.0%', 'TypeScript: 7.9%', 'Scala: 5.7%', 'HTML: 4.7%', 'Other: 8.2%'];Apache-2.0;https://github.com/apache/submarine;1.0;['Pillow', 'keras', 'mxnet', 'pytorch', 'sklearn', 'tensorflow', 'xgboost'];['AI', 'AlexNet', 'CNN', 'CV', 'Classification', 'GAN', 'LSTM', 'ML', 'NN', 'RL', 'ReLu', 'Recommender', 'Regression', 'ResNet', 'VGG'];['AI', 'AutoML', 'ML', 'NER', 'NN', 'RL', 'classif', 'clustering', 'deep learning', 'detect', 'epoch', 'filter', 'label', 'layer', 'logistic regression', 'loss', 'machine learning', 'model', 'predict', 'recogn', 'recommend', 'regression', 'resnet', 'test data', 'train', 'training data', 'vgg'];;2021-01-02 14:32:31;2020-12-19 22:27:15;376.0;0.589;submarine;
aparrish;0;2018-01-26 19:30:04;Notebooks and other materials for Reading and Writing Electronic Text;Notebooks and other materials for Reading and Writing Electronic Text;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/aparrish/rwet;1.0;['gensim', 'keras', 'nltk', 'pattern', 'sklearn', 'spacy', 'stanza', 'tensorflow', 'vocabulary'];['AI', 'Classification', 'Clustering', 'K-Means', 'LSTM', 'ML', 'NER', 'NLP', 'NN', 'RL', 'RNN', 'Random Forest', 'Recommender', 'Sentiment Analysis'];['AI', 'ML', 'NLP', 'NN', 'fit', 'neural network', 'predict'];;2020-10-27 19:09:53;2020-12-20 08:51:55;127.0;0.517;rwet;
aqibsaeed;0;2016-11-04 14:55:05;Convolutional Neural Network for Human Activity Recognition in Tensorflow;Convolutional Neural Network for Human Activity Recognition in Tensorflow;;Jupyter Notebook;['Jupyter Notebook: 57.0%', 'Java: 43.0%'];Apache-2.0;https://github.com/aqibsaeed/Human-Activity-Recognition-using-CNN;1.0;['tensorflow'];['ReLu'];['CNN', 'NN', 'detect', 'model', 'recogn', 'train'];;2019-12-30 14:24:48;2020-12-19 23:14:45;377.0;0.589;Human-Activity-Recognition-using-CNN;
araffin;4;2019-10-10 08:53:31;Stable-Baselines tutorial for Journes Nationales de la Recherche en Robotique 2019;Stable-Baselines tutorial for JournÃÂ©es Nationales de la Recherche en Robotique 2019;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/araffin/rl-tutorial-jnrr19;1.0;['tensorflow'];['AI', 'ANN', 'DL', 'LSTM', 'ML', 'NN', 'RL', 'Recommender', 'Supervised Learning'];['DL', 'RL', 'model', 'reinforcement learning'];;2020-09-28 11:04:25;2020-12-19 23:15:58;185.0;0.543;rl-tutorial-jnrr19;
asfadmin;7;2019-02-20 20:33:23;;;;Jupyter Notebook;['Jupyter Notebook: 95.7%', 'Python: 4.3%'];GPL-3.0;https://github.com/asfadmin/asf-jupyter-notebooks;1.0;['keras', 'pattern', 'skimage', 'tensorflow'];['AI', 'ANN', 'Bayesian', 'CNN', 'CV', 'Classification', 'DL', 'GRU', 'LSTM', 'ML', 'NER', 'NN', 'RL', 'RNN', 'ReLu', 'Recommender'];['RL', 'train'];;2020-12-08 02:11:11;2020-12-20 08:44:48;23.0;0.379;asf-jupyter-notebooks;
atcemgil;0;2015-10-03 06:58:24;Contains Example Programs and Notebooks for some courses at Bogazici University, Department of Computer Engineering;Contains Example Programs and Notebooks for some courses at Bogazici University, Department of Computer Engineering;;Jupyter Notebook;['Jupyter Notebook: 99.9%', 'Other: 0.1%'];MIT;https://github.com/atcemgil/notes;1.0;['nltk', 'pattern', 'pytorch', 'sklearn'];['AI', 'ANN', 'Anomaly Detection', 'Bayesian', 'CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'GRU', 'K-Means', 'KNN', 'LSTM', 'Linear Regression', 'Logistic Regression', 'ML', 'NN', 'Naive Bayes', 'RL', 'RNN', 'ReLu', 'Recommender', 'Regression', 'Supervised Learning', 'Unsupervised learning'];['bayesian', 'machine learning'];;2019-05-28 11:58:12;2020-12-20 08:45:21;152.0;0.53;notes;
auduno;0;2015-07-25 19:39:17;Notebook example of how to generate class visualizations with Caffe;Notebook example of how to generate class visualizations with Caffe;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];Apache-2.0;https://github.com/auduno/deepdraw;1.0;['caffe'];['CNN', 'Classification', 'NN', 'ReLu', 'Recommender', 'VGG'];['alexnet', 'model', 'neural network', 'train'];;2016-06-18 20:35:34;2020-12-19 23:26:27;331.0;0.581;deepdraw;
Auquan;9;2017-01-21 11:24:18;Ipython notebooks for math and finance tutorials;Ipython notebooks for math and finance tutorials;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/Auquan/Tutorials;1.0;['gensim', 'nltk', 'sklearn', 'spacy', 'statsmodels', 'vocabulary'];['AI', 'Bayesian', 'CV', 'Clustering', 'DL', 'Decision Tree', 'Linear Regression', 'Logistic Regression', 'ML', 'NLP', 'NN', 'RL', 'Recommender', 'Regression'];['fit', 'model', 'rank'];;2020-08-01 17:03:34;2020-12-20 08:44:05;623.0;0.619;Tutorials;
Autodesk;3;2016-07-14 17:35:49;Notebook-integrated tools for molecular simulation and visualization;Notebook-integrated tools for molecular simulation and visualization;;Python;['Python: 87.2%', 'Jupyter Notebook: 11.8%', 'Shell: 1.0%'];Apache-2.0;https://github.com/Autodesk/molecular-design-toolkit;1.0;['caffe', 'pattern'];['AI', 'CV', 'Classification', 'DL', 'ML', 'NER', 'NN', 'RL', 'Recommender'];['AI', 'filter', 'label', 'model', 'recommend', 'train'];;2018-04-02 18:31:34;2020-12-20 08:52:20;115.0;0.51;molecular-design-toolkit;
aviaryan;3;2017-02-21 20:13:54;Make Sublime Text your favorite note taking/journal application;Ã°ÂÂÂ Make Sublime Text your favorite note taking/journal application;;Python;['Python: 100.0%'];MIT;https://github.com/aviaryan/SublimeNotebook;0.8;['pattern'];['AI', 'NN', 'Recommender'];[];;2018-04-30 09:28:17;2020-12-20 08:51:39;199.0;0.548;SublimeNotebook;
aviaryan;0;2018-02-11 12:54:40;Use VS Code as a reliable note-taking/journal application;Ã°ÂÂÂ Use VS Code as a reliable note-taking/journal application;;Python;['Python: 100.0%'];MIT;https://github.com/aviaryan/VSCodeNotebook;0.8;['pattern'];['AI', 'NN', 'Recommender'];[];;2020-09-30 09:03:44;2020-12-20 08:49:32;575.0;0.615;VSCodeNotebook;
aws;267;2017-10-23 05:55:22;Example notebooks that show how to apply machine learning, deep learning and reinforcement learning in Amazon SageMaker;Example notebooks that show how to apply machine learning, deep learning and reinforcement learning in Amazon SageMaker;;Jupyter Notebook;['Jupyter Notebook: 78.7%', 'Python: 17.5%', 'Roff: 2.2%', 'Shell: 0.6%', 'HTML: 0.6%', 'Dockerfile: 0.3%', 'Other: 0.1%'];Apache-2.0;https://github.com/aws/amazon-sagemaker-examples;1.0;['Pillow', 'gensim', 'h2o', 'keras', 'mxnet', 'nltk', 'opencv-python', 'pattern', 'pytorch', 'rl_coach', 'skimage', 'sklearn', 'spacy', 'tensorflow', 'textblob', 'vocabulary', 'xgboost'];['AI', 'ANN', 'AlexNet', 'Anomaly Detection', 'AutoML', 'Bayesian', 'CNN', 'CV', 'Chatbot', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'GAN', 'GBM', 'GRU', 'Gradient Boosting', 'K-Means', 'KNN', 'LSTM', 'Linear Regression', 'Logistic Regression', 'ML', 'Machine Translation', 'NER', 'NLG', 'NLP', 'NLU', 'NN', 'Object Detection', 'RL', 'RNN', 'Random Forest', 'ReLu', 'Recommender', 'Regression', 'ResNet', 'Sentiment Analysis', 'Speech Recognition', 'Supervised Learning', 'Support Vector Machines', 'Text Classification', 'Unsupervised learning', 'VGG'];['AI', 'AutoML', 'CNN', 'CV', 'DL', 'ML', 'NN', 'RL', 'anomaly', 'anomaly detection', 'classif', 'clustering', 'convolutional neural network', 'decision tree', 'deep learning', 'detect', 'epoch', 'filter', 'fit', 'ground truth', 'image classification', 'k-means', 'label', 'layer', 'logistic regression', 'loss', 'lstm', 'machine learning', 'machine translation', 'model', 'neural network', 'object detection', 'output layer', 'predict', 'rank', 'recogn', 'recommend', 'recommender', 'regression', 'reinforcement learning', 'resnet', 'reward', 'sentiment analysis', 'supervised learning', 'test data', 'train', 'training data', 'unlabeled', 'unsupervised learning', 'validation data', 'vgg'];;2021-01-03 12:30:24;2020-12-19 22:48:02;4656.0;0.718;amazon-sagemaker-examples;
aws-samples;13;2019-12-06 20:53:29;Sample Jupyter Notebooks for Amazon Augmented AI (A2I);Sample Jupyter Notebooks for Amazon Augmented AI (A2I);;Jupyter Notebook;['Jupyter Notebook: 100.0%'];Apache-2.0;https://github.com/aws-samples/amazon-a2i-sample-jupyter-notebooks;1.0;['mxnet', 'nltk', 'pattern', 'sklearn', 'vocabulary', 'xgboost'];['AI', 'CV', 'Classification', 'Gradient Boosting', 'Logistic Regression', 'ML', 'Object Detection', 'RL', 'Recommender', 'Regression', 'ResNet', 'Sentiment Analysis', 'Speech Recognition', 'Supervised Learning'];['AI', 'ML', 'detect', 'label', 'model', 'object detection', 'predict', 'train'];;2020-12-13 16:35:58;2020-12-20 08:51:27;35.0;0.416;amazon-a2i-sample-jupyter-notebooks;
aws-samples;20;2018-11-23 23:10:45;Notebooks and examples on how to onboard and use various features of Amazon Forecast.;Notebooks and examples on how to onboard and use various features of Amazon Forecast.;;Jupyter Notebook;['Jupyter Notebook: 99.0%', 'Python: 1.0%'];;https://github.com/aws-samples/amazon-forecast-samples;1.0;['nltk', 'pattern', 'sklearn', 'vocabulary'];['AI', 'ANN', 'AutoML', 'Bayesian', 'CNN', 'Classification', 'DL', 'ML', 'NER', 'NLP', 'NN', 'RL', 'Recommender', 'Regression'];['AutoML', 'ML', 'RL', 'label', 'machine learning', 'model', 'predict', 'rank', 'recommend', 'regression', 'train', 'training data'];;2020-12-15 01:58:47;2020-12-20 08:43:20;283.0;0.571;amazon-forecast-samples;
aws-samples;14;2018-11-23 23:05:33;Notebooks and examples on how to onboard and use various features of Amazon Personalize;Notebooks and examples on how to onboard and use various features of Amazon Personalize;;Jupyter Notebook;['Jupyter Notebook: 98.0%', 'Python: 1.9%', 'JavaScript: 0.1%'];;https://github.com/aws-samples/amazon-personalize-samples;1.0;['pattern'];['AI', 'Classification', 'DL', 'ML', 'NN', 'RL', 'RNN', 'Recommender'];['AI', 'AutoML', 'ML', 'NN', 'RL', 'RNN', 'filter', 'fit', 'ground truth', 'label', 'layer', 'loss', 'machine learning', 'model', 'neural network', 'predict', 'rank', 'recommend', 'recommender', 'recurrent neural network', 'train'];;2020-12-15 19:47:51;2020-12-20 08:43:03;260.0;0.566;amazon-personalize-samples;
aws-samples;4;2020-06-11 22:06:22;Tools to run Jupyter notebooks as jobs in Amazon SageMaker - ad hoc, on a schedule, or in response to events;Tools to run Jupyter notebooks as jobs in Amazon SageMaker - ad hoc, on a schedule, or in response to events;;Python;['Python: 56.3%', 'TypeScript: 36.5%', 'Shell: 5.3%', 'Dockerfile: 0.7%', 'Makefile: 0.6%', 'JavaScript: 0.5%', 'CSS: 0.1%'];Apache-2.0;https://github.com/aws-samples/sagemaker-run-notebook;1.0;['mxnet', 'pattern', 'sklearn', 'xgboost'];['AI', 'Classification', 'DL', 'ML', 'NER', 'NN', 'RL', 'ReLu', 'Recommender', 'Regression'];['ML', 'deep learning', 'label', 'regression'];;2020-11-06 06:38:50;2020-12-20 08:44:52;35.0;0.416;sagemaker-run-notebook;
azer;9;2016-11-20 20:32:29;Stuff going through my mind;Stuff going through my mind;;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/azer/notebook;1.0;['pattern', 'sklearn'];['CV', 'Classification', 'DL', 'Logistic Regression', 'NN', 'ReLu', 'Regression', 'Supervised Learning'];['AI', 'ML', 'NER', 'NLP', 'NN', 'RL', 'artificial intelligence', 'artificial neural network', 'classif', 'clustering', 'computer vision', 'deep learning', 'detect', 'epoch', 'filter', 'fit', 'gradient descent', 'gru', 'hidden layer', 'image classification', 'input layer', 'label', 'layer', 'logistic regression', 'loss', 'machine learning', 'machine translation', 'model', 'natural language processing', 'neural network', 'neuron', 'output layer', 'predict', 'propagation', 'random forest', 'rank', 'recogn', 'recommend', 'regression', 'relu', 'reward', 'sentiment analysis', 'speech recognition', 'supervised learning', 'test data', 'train', 'training data', 'unsupervised learning'];;2020-12-31 01:45:11;2020-12-20 08:43:58;635.0;0.62;notebook;
Azure;12;2019-10-03 16:37:22;Interactive Azure Sentinel Notebooks provides security insights and actions to investigate anomalies and hunt for malicious behaviors.;Interactive Azure Sentinel Notebooks provides security insights and actions to investigate anomalies and hunt for malicious behaviors.;;Jupyter Notebook;['Jupyter Notebook: 99.1%', 'Other: 0.9%'];MIT;https://github.com/Azure/Azure-Sentinel-Notebooks;1.0;['pattern', 'sklearn'];['AI', 'CV', 'Classification', 'Clustering', 'DL', 'ML', 'NLP', 'NN', 'RL', 'Recommender', 'Supervised Learning', 'Unsupervised learning'];['ML', 'RL', 'label', 'recommend'];;2020-12-16 21:24:55;2020-12-20 08:51:13;102.0;0.501;Azure-Sentinel-Notebooks;
