link;category;subcategory;category_guess;category_match;category_similar;subcategory_guess;subcategory_match;subcategory_similar
https://github.com/AlanConstantine/KDD-Cup-2019-CAMMTR;Utilities;Transportation;"{""Miscellaneous"": 0.7430718541145325}";False;False;"{""Transportation"": 0.9709421396255493, ""Preventative and Reactive"": 0.9439985156059265, ""Student"": 0.29234784841537476}";True;False
https://github.com/albahnsen/ML_RiskManagement;Banking & Insurance;Insurance and Risk;"{""Banking & Insurance"": 0.3176865875720978}";True;False;"{""Machine Learning"": 0.956321656703949, ""Student"": 0.8093100190162659, ""Preventative and Reactive"": 0.48876485228538513, ""Insurance and Risk"": 0.33009251952171326}";False;True
https://github.com/albertwebson/Political-Vector-Projector;Government and Public Works;Politics;{};False;False;"{""Politics"": 0.916716992855072, ""Student"": 0.7709816098213196, ""Machine Learning"": 0.34844720363616943}";True;False
https://github.com/albiboni/AileronSimulation;Construction & Engineering;Engineering;{};False;False;"{""Transportation"": 0.779645562171936, ""Preventative and Reactive"": 0.38638606667518616}";False;False
https://github.com/alifier/Restaurant_success_model;Accommodation & Food;Restaurant;"{""Accommodation & Food"": 0.9521712064743042}";True;False;"{""Food"": 0.9503256678581238, ""Restaurant"": 0.9358442425727844, ""Failure"": 0.6646057367324829, ""Machine Learning"": 0.591383695602417, ""Preventative and Reactive"": 0.5896203517913818}";False;True
https://github.com/alistairwallace97/olympian-biotech;Healthcare;General;"{""Education & Research"": 0.9704842567443848, ""Economics"": 0.9180195331573486, ""Biotechnological & Life Sciences"": 0.3245129883289337, ""Healthcare"": 0.3213634490966797}";False;True;"{""Student"": 0.975624144077301, ""Preventative and Reactive"": 0.7874361276626587, ""School"": 0.5842368602752686}";False;False
https://github.com/altosaar/food2vec;Accommodation & Food;Food;{};False;False;{};False;False
https://github.com/aluo417/Financial-Engineering-Projects;Finance;Trading & Investment;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/AlvaroMenduina/Jupyter_Notebooks/;Construction & Engineering;Engineering;"{""Education & Research"": 0.4629538357257843}";False;False;"{""Student"": 0.5641335248947144}";False;False
https://github.com/am-aditya/Artificial-Intelligence-for-Banking/;Banking & Insurance;Management and Operations;"{""Finance"": 0.3765711486339569, ""Banking & Insurance"": 0.3658761978149414}";False;True;{};False;False
https://github.com/amirrezaeian/Individual-household-electric-power-consumption-Data-Set-;Utilities;Electricity;{};False;False;{};False;False
https://github.com/amunategui/Leak-At-Chemical-Factory-RL;Emergency & Relief;Preventative and Reactive;"{""Emergency & Relief"": 0.668567419052124}";True;False;"{""Machine Learning"": 0.7597396373748779, ""Preventative and Reactive"": 0.4731614589691162}";False;True
https://github.com/analystiu/LICT-Project-Emergency-911-Calls;Emergency & Relief;Preventative and Reactive;"{""Emergency & Relief"": 0.3195570707321167}";True;False;{};False;False
https://github.com/ancilcrayton/nlp_public_policy;Government and Public Works;Social Policies;{};False;False;"{""Politics"": 0.9491157531738281, ""Preventative and Reactive"": 0.32823047041893005}";False;False
https://github.com/andrei-rizoiu/hip-popularity;Media & Publishing;Marketing;{};False;False;"{""Student"": 0.3719010353088379}";False;False
https://github.com/andrey-lukyanov/Risk-Management;Banking & Insurance;Insurance and Risk;"{""Healthcare"": 0.7819356322288513}";False;False;"{""Student"": 0.5967816710472107, ""School"": 0.5344100594520569, ""Preventative and Reactive"": 0.5140535831451416, ""Insurance and Risk"": 0.34612220525741577}";False;True
https://github.com/anki1909/Recruit-Restaurant-Visitor-Forecasting;Accommodation & Food;Restaurant;"{""Accommodation & Food"": 0.8340069651603699}";True;False;"{""Restaurant"": 0.9770016074180603, ""Food"": 0.885305643081665, ""Tourism"": 0.7387787699699402, ""Preventative and Reactive"": 0.6871365308761597}";True;False
https://github.com/ankitkariryaa/ambulanceSiteLocation;Emergency & Relief;Ambulance:;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/Ankushr785/Food-amenities-demand-prediction;Accommodation & Food;Food;"{""Accommodation & Food"": 0.9756230711936951, ""Agriculture"": 0.4372519254684448}";True;False;"{""Machine Learning"": 0.9933567643165588, ""Food"": 0.9669800400733948, ""Preventative and Reactive"": 0.848078727722168, ""Restaurant"": 0.6219950914382935, ""Student"": 0.5040978789329529, ""General"": 0.25850704312324524}";False;True
https://github.com/anshu3769/FirmEmbeddings;Justice, Law and Regulations;Policy and Regulatory;"{""Justice, Law and Regulations"": 0.45413798093795776, ""Finance"": 0.36188995838165283}";True;False;"{""Preventative and Reactive"": 0.7265327572822571, ""Policy and Regulatory"": 0.5547903180122375, ""Judicial Applied"": 0.5313799977302551, ""General"": 0.3682154417037964}";False;True
https://github.com/apbecker/Systemic_Risk/;Banking & Insurance;Insurance and Risk;"{""Banking & Insurance"": 0.39655113220214844}";True;False;{};False;False
https://github.com/apoorv-goel/Bank-Note-Authentication-Using-DNN-Tensorflow-Classifier-and-RandomForest;Banking & Insurance;Physical;{};False;False;{};False;False
https://github.com/arcadynovosyolov/finance;Finance;Trading & Investment;"{""Finance"": 0.9028555750846863}";True;False;{};False;False
https://github.com/arcadynovosyolov/reverse_stress_testing/;Banking & Insurance;Insurance and Risk;{};False;False;"{""Preventative and Reactive"": 0.5003449320793152}";False;False
https://github.com/Architectshwet/Amazon-Fine-Food-Reviews;Accommodation & Food;Food;"{""Accommodation & Food"": 0.554900050163269}";True;False;"{""Food"": 0.9622913599014282, ""Machine Learning"": 0.6305587887763977, ""Quality"": 0.5114584565162659, ""Preventative and Reactive"": 0.29866823554039}";True;False
https://github.com/argha48/smarthotels;Accommodation & Food;Accomodation;{};False;False;"{""Quality"": 0.5633511543273926, ""Preventative and Reactive"": 0.43806952238082886, ""Tourism"": 0.2544343173503876}";False;False
https://github.com/arijitsaha/FloodRisk;Emergency & Relief;Disaster Management;"{""Utilities"": 0.29179733991622925}";False;False;"{""Preventative and Reactive"": 0.7179772257804871, ""Tools"": 0.5830958485603333, ""Student"": 0.40882155299186707}";False;False
https://github.com/arogozhnikov/hep_ml;Physics;Machine Learning;"{""Physics"": 0.9334050416946411}";True;False;"{""Machine Learning"": 0.9921874403953552}";True;False
https://github.com/arrahman17/Learning-Analytics-Project-;Education & Research;Student;"{""Education & Research"": 0.5759679079055786}";True;False;"{""Student"": 0.9437606930732727, ""School"": 0.772090494632721, ""Quality"": 0.26046448945999146}";True;False
https://github.com/arvindkarir/retail;Wholesale & Retail;Retail;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/aspuru-guzik-group/chemical_vae;Biotechnological & Life Sciences;Chemoinformatics and drug discovery;{};False;False;"{""Machine Learning"": 0.7823531031608582, ""Student"": 0.49338120222091675, ""Quality"": 0.4255979061126709, ""Valuation"": 0.35690897703170776, ""Tools"": 0.33248013257980347, ""Sequencing"": 0.31705960631370544, ""Preventative and Reactive"": 0.3110121488571167, ""Management and Operations"": 0.2721635699272156, ""Restaurant"": 0.2714637815952301, ""Insurance and Risk"": 0.2638144791126251}";False;False
https://github.com/austinbrian/portfolio/;Government and Public Works;Election Analysis;"{""Real Estate, Rental & Leasing"": 0.8203433752059937, ""Construction & Engineering"": 0.4974302649497986, ""Government and Public Works"": 0.4451391398906708, ""Biotechnological & Life Sciences"": 0.43753957748413086, ""Education & Research"": 0.4067382216453552, ""Media & Publishing"": 0.3930003046989441}";False;True;"{""Trading & Investment"": 0.6090174913406372, ""Real Estate"": 0.305438369512558, ""Insurance and Risk"": 0.3005203902721405, ""Rental & Leasing"": 0.255774587392807}";False;False
https://github.com/austinbrian/sheriffs;Government and Public Works;Social Policies;"{""Justice, Law and Regulations"": 0.2877095937728882}";False;False;"{""Preventative and Reactive"": 0.5988742709159851, ""Quality"": 0.38815048336982727, ""Policy and Regulatory"": 0.3096226453781128, ""Management and Operations"": 0.2518933415412903}";False;False
https://github.com/austinpetsalive/distemper-outbreak;Government and Public Works;Social Policies;"{""Emergency & Relief"": 0.401033490896225}";False;False;"{""Machine Learning"": 0.7195912599563599, ""Preventative and Reactive"": 0.6132976412773132, ""Tools"": 0.5367496013641357, ""Life-sciences"": 0.30906280875205994, ""Student"": 0.3001006245613098}";False;False
https://github.com/avsolatorio/world-bank-pover-t-tests-solution;Government and Public Works;Social Policies;{};False;False;"{""Preventative and Reactive"": 0.42920243740081787, ""Student"": 0.3611738681793213}";False;False
https://github.com/awoziji/pwc_europe_data_analytics_hackathon;Real Estate, Rental & Leasing;Rental & Leasing;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/awracms/awra_cms_older;Utilities;Water & Pollution;{};False;False;"{""Preventative and Reactive"": 0.28400424122810364}";False;False
https://github.com/Azure/lstms_for_predictive_maintenance;Manufacturing;Maintenance;"{""Government and Public Works"": 0.26693999767303467}";False;False;"{""Maintenance"": 0.8815895915031433, ""Transportation"": 0.33786889910697937, ""Preventative and Reactive"": 0.27935847640037537}";True;False
https://github.com/bahuisman/NatGasModel;Utilities;Coal, Oil & Gas;{};False;False;"{""Preventative and Reactive"": 0.38764050602912903}";False;False
https://github.com/bayesimpact/bayeshack-transportation-ems;Emergency & Relief;Preventative and Reactive;"{""Emergency & Relief"": 0.6722398400306702}";True;False;"{""Transportation"": 0.9747926592826843, ""Preventative and Reactive"": 0.745871901512146}";False;True
https://github.com/benattix/philly-schools;Education & Research;School;"{""Biotechnological & Life Sciences"": 0.25211238861083984}";False;False;"{""School"": 0.9878681898117065, ""Student"": 0.7064549922943115, ""Quality"": 0.3299769163131714}";True;False
https://github.com/benjaminsingleton/crime-trends;Emergency & Relief;Crime;{};False;False;"{""Tools"": 0.6938315033912659, ""Preventative and Reactive"": 0.5372912287712097, ""General"": 0.34767836332321167}";False;False
https://github.com/bhaveshgoyal/safeLiquor;Government and Public Works;Social Policies;"{""Justice, Law and Regulations"": 0.5381641387939453}";False;False;"{""Preventative and Reactive"": 0.9025412201881409, ""Policy and Regulatory"": 0.846707284450531}";False;False
https://github.com/borisbanushev/stockpredictionai/;Finance;Trading & Investment;"{""Finance"": 0.35391125082969666}";True;False;"{""Machine Learning"": 0.9591835141181946, ""Trading & Investment"": 0.32488587498664856}";False;True
https://github.com/bradleyrobinson/School-Performance;Education & Research;School;"{""Education & Research"": 0.5889685153961182}";True;False;"{""School"": 0.9357295036315918, ""Student"": 0.7066702246665955, ""General"": 0.4461607038974762, ""Preventative and Reactive"": 0.25822293758392334, ""Tools"": 0.25284314155578613}";True;False
https://github.com/Brett777/Predict-Risk;Banking & Insurance;Consumer Financial;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/BrianChevalier/StructPy;Construction & Engineering;Engineering;{};False;False;"{""Student"": 0.41519737243652344, ""Tools"": 0.33099013566970825}";False;False
https://github.com/brightmart/ai_law;Justice, Law and Regulations;Tools;{};False;False;"{""Textual Analysis"": 0.47630536556243896, ""Student"": 0.34243014454841614}";False;False
https://github.com/brightmart/sentiment_analysis_fine_grain;Justice, Law and Regulations;Judicial Applied;"{""Real Estate, Rental & Leasing"": 0.6342884302139282, ""Education & Research"": 0.5354374051094055, ""Biotechnological & Life Sciences"": 0.5314145684242249, ""Banking & Insurance"": 0.46304023265838623, ""Justice, Law and Regulations"": 0.4486422836780548, ""Wholesale & Retail"": 0.43826448917388916, ""Media & Publishing"": 0.39343583583831787, ""Government and Public Works"": 0.3798028230667114, ""Accommodation & Food"": 0.36818307638168335, ""Emergency & Relief"": 0.3679526448249817, ""Construction & Engineering"": 0.36111870408058167, ""Utilities"": 0.34616518020629883, ""Manufacturing"": 0.2891331911087036}";False;True;"{""Machine Learning"": 0.9517657160758972, ""Quality"": 0.5850940942764282, ""Insurance and Risk"": 0.5599214434623718, ""Student"": 0.5424283742904663, ""Preventative and Reactive"": 0.5042477250099182, ""Trading & Investment"": 0.4970903992652893, ""Rental & Leasing"": 0.4874667227268219, ""Management and Operations"": 0.404997855424881, ""Restaurant"": 0.38876503705978394, ""Retail"": 0.38338714838027954, ""Water & Pollution"": 0.35890260338783264, ""Tools"": 0.3585805892944336, ""School"": 0.3405662775039673, ""Transportation"": 0.32174620032310486, ""Real Estate"": 0.31152185797691345, ""Policy and Regulatory"": 0.30249711871147156, ""Life-sciences"": 0.2744552791118622, ""Tourism"": 0.2670920789241791, ""Marketing"": 0.25899767875671387}";False;False
https://github.com/bschreck/robo-chef;Accommodation & Food;Food;"{""Biotechnological & Life Sciences"": 0.4624265730381012, ""Construction & Engineering"": 0.4295821487903595, ""Education & Research"": 0.39851826429367065, ""Emergency & Relief"": 0.3945079743862152, ""Real Estate, Rental & Leasing"": 0.38734251260757446, ""Media & Publishing"": 0.37069785594940186, ""Justice, Law and Regulations"": 0.36990392208099365, ""Healthcare"": 0.35109391808509827, ""Finance"": 0.3282583951950073, ""Utilities"": 0.3277566134929657, ""Physics"": 0.3190387189388275, ""Government and Public Works"": 0.3142501711845398, ""Manufacturing"": 0.31093940138816833, ""Economics"": 0.2995372712612152, ""Banking & Insurance"": 0.2947043180465698, ""Accommodation & Food"": 0.28985875844955444}";False;True;"{""Life-sciences"": 0.5484941601753235, ""Preventative and Reactive"": 0.46310746669769287, ""Machine Learning"": 0.46255022287368774, ""Social Policies"": 0.4516424834728241, ""Insurance and Risk"": 0.41557952761650085, ""Water & Pollution"": 0.4105302095413208, ""Policy and Regulatory"": 0.4095210134983063, ""Quality"": 0.4047802984714508, ""Sequencing"": 0.40219366550445557, ""Rental & Leasing"": 0.39538004994392395, ""Transportation"": 0.38050150871276855, ""Management and Operations"": 0.3797942101955414, ""Material Science"": 0.37085220217704773, ""Physical"": 0.3310724198818207, ""Genomics"": 0.33036017417907715, ""General"": 0.3144373893737793, ""Valuation"": 0.2999902069568634, ""Trading & Investment"": 0.29793497920036316, ""Student"": 0.2957959771156311, ""Textual Analysis"": 0.29115185141563416, ""Tools"": 0.2803361713886261, ""Real Estate"": 0.27128446102142334}";False;False
https://github.com/budach/pysster;Biotechnological & Life Sciences;Sequencing;"{""Biotechnological & Life Sciences"": 0.5469967722892761}";True;False;"{""Student"": 0.6807860732078552, ""Life-sciences"": 0.6681675910949707, ""Sequencing"": 0.6594691872596741, ""Machine Learning"": 0.4589318335056305}";False;True
https://github.com/buddyd16/Structural-Engineering;Construction & Engineering;Engineering;{};False;False;{};False;False
https://github.com/bukosabino/financial-forecasting-challenge-gresearch;Finance;Trading & Investment;"{""Finance"": 0.9201139211654663}";True;False;"{""Preventative and Reactive"": 0.7004281282424927}";False;False
https://github.com/burkesquires/python_biologist;Biotechnological & Life Sciences;General;"{""Biotechnological & Life Sciences"": 0.7446792721748352}";True;False;"{""Life-sciences"": 0.989533543586731, ""Preventative and Reactive"": 0.3446820378303528}";False;False
https://github.com/buzz11/productionFailures;Manufacturing;Quality;"{""Manufacturing"": 0.4864114224910736, ""Wholesale & Retail"": 0.4182918071746826, ""Accommodation & Food"": 0.2797446548938751}";True;False;"{""Failure"": 0.808108389377594, ""Quality"": 0.7240029573440552, ""Preventative and Reactive"": 0.6053576469421387, ""Retail"": 0.2715804874897003, ""Water & Pollution"": 0.2603609561920166}";False;True
https://github.com/byukan/Marketing-Data-Science;Media & Publishing;Marketing;"{""Manufacturing"": 0.2595815062522888}";False;False;"{""Machine Learning"": 0.8260454535484314, ""Retail"": 0.26176413893699646}";False;False
https://github.com/bzjin/menus;Accommodation & Food;Restaurant;"{""Accommodation & Food"": 0.6470364332199097}";True;False;"{""Restaurant"": 0.5168154835700989, ""Food"": 0.27665430307388306}";True;False
https://github.com/CAChemE/learn;Construction & Engineering;Engineering;{};False;False;"{""Student"": 0.5904502868652344, ""School"": 0.4087006151676178, ""Preventative and Reactive"": 0.3164377808570862}";False;False
https://github.com/cadrev/lstm-flood-prediction;Utilities;Water & Pollution;{};False;False;"{""Machine Learning"": 0.9638532996177673, ""Maintenance"": 0.7140223383903503, ""Life-sciences"": 0.6530817747116089, ""Preventative and Reactive"": 0.4514918625354767}";False;False
https://github.com/callysto/curriculum-notebooks/;Healthcare;General;"{""Education & Research"": 0.46304306387901306, ""Biotechnological & Life Sciences"": 0.34061193466186523, ""Physics"": 0.25893640518188477, ""Economics"": 0.25399503111839294}";False;False;"{""Student"": 0.671519935131073, ""School"": 0.642949640750885, ""Preventative and Reactive"": 0.4005550444126129, ""Material Science"": 0.3436637222766876, ""Water & Pollution"": 0.290258526802063, ""Sequencing"": 0.2773098647594452, ""Quality"": 0.2722215950489044, ""General"": 0.26246657967567444, ""Physical"": 0.2509585916996002}";False;True
https://github.com/carolineh101/deep-learning-architecture;Construction & Engineering;Construction;{};False;False;"{""Machine Learning"": 0.9523656964302063, ""Student"": 0.407752126455307, ""Quality"": 0.2997540831565857, ""Tools"": 0.27419689297676086}";False;False
https://github.com/catherhuang/FP3-recipe;Accommodation & Food;Food;"{""Accommodation & Food"": 0.4472995102405548}";True;False;"{""Food"": 0.7288832068443298}";True;False
https://github.com/cavaunpeu/flight-delays;Utilities;Transportation;{};False;False;"{""Machine Learning"": 0.9722109436988831, ""Preventative and Reactive"": 0.6073406934738159, ""Transportation"": 0.307351678609848}";False;True
https://github.com/cep-kse/natural_gas_formula;Utilities;Coal, Oil & Gas;"{""Economics"": 0.6752982139587402, ""Finance"": 0.28922155499458313}";False;False;"{""Tools"": 0.8505306839942932, ""Preventative and Reactive"": 0.3486430048942566, ""Sequencing"": 0.3316801190376282, ""Student"": 0.2548843324184418}";False;False
https://github.com/CharlesHoffmanCPA/charleshoffmanCPA.github.io;Accounting;Analytics;"{""Finance"": 0.39498448371887207}";False;False;"{""Quality"": 0.2821085751056671}";False;False
https://github.com/chen-bowen/Data_Science_in_Applied_Corporate_Finance;Finance;Trading & Investment;{};False;False;"{""Preventative and Reactive"": 0.4257802963256836, ""Student"": 0.33000853657722473, ""Trading & Investment"": 0.262664258480072}";False;True
https://github.com/chen-bowen/Research_Documents_Curation_with_NLP;Finance;Trading & Investment;"{""Finance"": 0.8912575244903564}";True;False;"{""Student"": 0.5220821499824524}";False;False
https://github.com/chenbowen184/Computational_Finance;Finance;Trading & Investment;"{""Finance"": 0.9567400813102722}";True;False;"{""Preventative and Reactive"": 0.4099608063697815, ""Student"": 0.37729451060295105}";False;False
https://github.com/chicago-justice-project/article-tagging;Emergency & Relief;Crime;"{""Emergency & Relief"": 0.4319480359554291}";True;False;"{""Quality"": 0.5551323890686035}";False;False
https://github.com/chrieke/InstanceSegmentation_Sentinel2;Agriculture;Development;"{""Agriculture"": 0.994581937789917}";True;False;"{""Machine Learning"": 0.9441158175468445, ""Preventative and Reactive"": 0.6465808749198914}";False;False
https://github.com/Chris-Manna/charity_recommender;Government and Public Works;Charities;"{""Emergency & Relief"": 0.70505291223526}";False;False;"{""Preventative and Reactive"": 0.7969953417778015, ""Machine Learning"": 0.5314818620681763, ""Quality"": 0.26814204454421997}";False;False
https://github.com/chrisPiemonte/crime-analysis;Emergency & Relief;Crime;{};False;False;"{""Preventative and Reactive"": 0.287861168384552}";False;False
https://github.com/CityofToronto/bdit_data-sources;Utilities;Transportation;{};False;False;{};False;False
https://github.com/cmenguy/crime-analytics;Emergency & Relief;Crime;{};False;False;"{""Preventative and Reactive"": 0.5062417387962341}";False;False
https://github.com/codeforboston/safe-water;Utilities;Water & Pollution;{};False;False;"{""Water & Pollution"": 0.8948681354522705, ""Quality"": 0.8159759044647217, ""Preventative and Reactive"": 0.44005271792411804, ""Student"": 0.36460432410240173}";True;False
https://github.com/crowdAI/train-schedule-optimisation-challenge-starter-kit;Utilities;Transportation;"{""Banking & Insurance"": 0.3018481731414795}";False;False;"{""Transportation"": 0.9059235453605652, ""Preventative and Reactive"": 0.3085181415081024}";True;False
https://github.com/damontallen/Construction-materials;Construction & Engineering;Construction;{};False;False;"{""Material Science"": 0.5523114800453186, ""Student"": 0.46359336376190186}";False;False
https://github.com/danielmachinelearning/HotelSpamDetection;Accommodation & Food;Accomodation;"{""Accommodation & Food"": 0.3326754868030548}";True;False;"{""Preventative and Reactive"": 0.8964695930480957, ""Machine Learning"": 0.7001729607582092, ""Tourism"": 0.6357985138893127, ""Restaurant"": 0.5568422079086304, ""Tools"": 0.5437797904014587, ""Quality"": 0.5328551530838013, ""Student"": 0.31193113327026367, ""Policy and Regulatory"": 0.2744698226451874}";False;False
https://github.com/Danila89/kaggle_mercedes;Manufacturing;General;"{""Manufacturing"": 0.9786779880523682}";True;False;"{""Preventative and Reactive"": 0.28204482793807983}";False;False
https://github.com/danshorstein/ficpa_article;Accounting;Data, Parsing and APIs;{};False;False;{};False;False
https://github.com/danshorstein/python4cpas/;Accounting;Data, Parsing and APIs;"{""Construction & Engineering"": 0.298173189163208}";False;False;"{""Preventative and Reactive"": 0.3935813903808594}";False;False
https://github.com/dariusmehri/Algorithm-for-Finding-Buildings-with-Facade-Risk;Construction & Engineering;Construction;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/dariusmehri/Geo-Spatial-Risk-Analysis-of-Inspectors;Construction & Engineering;Construction;{};False;False;"{""Machine Learning"": 0.6401503086090088, ""Tools"": 0.6270503401756287, ""Student"": 0.4387940764427185, ""Quality"": 0.2816356420516968}";False;False
https://github.com/dariusmehri/Inspection-Productivity-Analysis-and-Visualization-with-Tableau;Construction & Engineering;Construction;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/dariusmehri/Predicting-Staff-Levels-for-Front-line-Workers;Construction & Engineering;Construction;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/dariusmehri/Predictive-Analysis-of-Building-Violations;Construction & Engineering;Construction;{};False;False;"{""Marketing"": 0.3045962452888489}";False;False
https://github.com/dariusmehri/Risk-Screening-Tool-to-Predict-Accidents-at-Construction-Sites;Construction & Engineering;Construction;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/dariusmehri/Social-Network-Analysis-to-Expose-Corruption;Construction & Engineering;Construction;"{""Utilities"": 0.32801783084869385}";False;False;"{""General"": 0.40299031138420105, ""Quality"": 0.3079024851322174, ""Sequencing"": 0.3059132397174835}";False;False
https://github.com/dariusmehri/Social-Network-Bad-Actor-Risk-Tool;Construction & Engineering;Construction;"{""Construction & Engineering"": 0.3043760061264038}";True;False;{};False;False
https://github.com/dariusmehri/Topic-Modeling-and-Analysis-of-Building-Related-Injuries;Construction & Engineering;Construction;"{""Education & Research"": 0.3016780614852905, ""Real Estate, Rental & Leasing"": 0.2630181908607483}";False;False;"{""Preventative and Reactive"": 0.34669357538223267, ""Tools"": 0.32696613669395447}";False;False
