author;contributors;created_at;description;description2;industry;language_primary;languages;license;link;ml_detected;ml_libs;ml_tags;ml_terms;name;pushed_at;scraped_at;stars;stars_score;title;type
am-aditya;0;;This project contains codes and notebooks related to various use cases for banking.;Estimate the CLV of credit card customers.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 76.9%', 'Python: 23.1%'];;https://github.com/am-aditya/Artificial-Intelligence-for-Banking/;1.0;['h2o', 'keras', 'pattern', 'sklearn'];['CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'ML', 'NN', 'Regression'];['artificial intelligence', 'detect', 'machine learning', 'model', 'predict', 'recommend'];Credit Card;2018-09-26 08:32:28;2020-10-31 00:19:43;;0.0;Artificial-Intelligence-for-Banking;Management and Operations
amirrezaeian;0;2018-01-26 21:06:33;Individual household electric-power consumption Data Set (LSTM) [tutorial];Individual household power consumption LSTM.;Utilities;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/amirrezaeian/Individual-household-electric-power-consumption-Data-Set-;1.0;['keras', 'sklearn'];['CNN', 'DL', 'LSTM', 'ML', 'NN', 'RNN', 'Supervised Learning'];['lstm', 'neural network', 'recurrent neural network'];Household power consumption;2018-01-26 21:20:27;2020-10-31 01:01:27;53;0.45;Individual-household-electric-power-consumption-Data-Set-;Electricity
amunategui;0;2018-06-01 21:44:17;Github repository for article: Pairing Reinforcement Learning and Machine Learning, an Enhanced Emergency Response Scenario.;Chemical factory RL.;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/amunategui/Leak-At-Chemical-Factory-RL;1.0;['pattern'];['AI', 'Linear Regression', 'ML', 'RL', 'Regression', 'Supervised Learning', 'Unsupervised learning'];['RL', 'machine learning', 'reinforcement learning'];Emergency Response;2018-06-03 16:01:32;2020-10-31 00:32:58;1;0.099;Leak-At-Chemical-Factory-RL;Preventative and Reactive
analystiu;0;2017-11-23 10:57:42;Emergency-911 Calls. This is the project for LICT Big Data Training. I will try to upload all project materials here.;Emergency calls analysis project.;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/analystiu/LICT-Project-Emergency-911-Calls;0.8;['sklearn'];['ML', 'Regression'];[];Emergency Calls;2017-12-20 01:28:40;2020-10-31 00:32:54;2;0.152;LICT-Project-Emergency-911-Calls;Preventative and Reactive
ancilcrayton;2;2018-11-06 15:26:57;NLP: An Application for Public Policy, PyCon Ireland 2018;An example of an NLP use-case in public policy.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/ancilcrayton/nlp_public_policy;1.0;['gensim', 'nltk', 'pattern', 'sklearn', 'statsmodels'];['Clustering', 'Linear Regression', 'NLP', 'NN', 'Regression'];['ML', 'NLP', 'machine learning', 'model', 'natural language processing', 'regression'];NLP Public Policy;2020-01-13 23:41:39;2020-10-31 00:49:55;13;0.327;nlp_public_policy;Social Policies
andrei-rizoiu;2;2017-02-19 22:49:03;This repo contains data, source code and other ressources related to the HIP model for online popularity of YouTube videos.;HIP model for predicting the popularity of videos.;Media & Publishing;Jupyter Notebook;['Jupyter Notebook: 89.4%', 'R: 7.5%', 'Python: 3.0%', 'Shell: 0.1%'];;https://github.com/andrei-rizoiu/hip-popularity;0.5;[];['AI'];['AI', 'fit', 'label', 'model', 'train'];Video Popularity;2018-01-05 06:08:00;2020-10-31 00:44:43;24;0.383;hip-popularity;Marketing
andrey-lukyanov;3;2018-10-03 16:26:14;HSE Course in Risk-Management;Finance risk engagement course resources.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 98.5%', 'Python: 1.1%', 'R: 0.4%'];;https://github.com/andrey-lukyanov/Risk-Management;0.5;['pattern', 'sklearn'];[];[];Risk Management;2018-12-13 08:05:10;2020-10-30 23:43:30;6;0.253;Risk-Management;Insurance and Risk
anki1909;0;2018-02-07 05:07:01;6th place solution for Recruit-Restaurant-Visitor-Forecasting;Reservation and visitation number prediction;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 98.8%', 'Python: 1.2%'];;https://github.com/anki1909/Recruit-Restaurant-Visitor-Forecasting;1.0;['h2o', 'keras', 'lightgbm', 'pattern', 'sklearn', 'xgboost'];['CV', 'LSTM', 'NN', 'Regression'];['rank'];Visitor Forecasting;2018-02-08 03:46:23;2020-10-30 23:34:42;14;0.334;Recruit-Restaurant-Visitor-Forecasting;Restaurant
ankitkariryaa;0;2018-10-21 12:15:59;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Ambulance site locations.;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/ankitkariryaa/ambulanceSiteLocation;0.0;[];[];[];Site Location;2018-10-29 16:30:20;2020-10-31 00:35:03;0;0.0;ambulanceSiteLocation;Ambulance:
Ankushr785;0;2017-06-23 14:32:44;Predicting the demand of food amenities using LSTM and MLP;Predicting the demand for food amenities using neural networks;Accommodation & Food;Python;['Python: 69.0%', 'Jupyter Notebook: 31.0%'];;https://github.com/Ankushr785/Food-amenities-demand-prediction;1.0;['keras', 'sklearn'];['LSTM', 'Supervised Learning'];['activation function', 'fit', 'hidden layer', 'input layer', 'layer', 'lstm', 'model', 'neural network', 'neuron', 'output layer', 'predict', 'recurrent neural network', 'supervised learning', 'test data', 'train'];Food Amenities;2017-09-19 21:07:02;2020-10-30 23:31:18;6;0.253;Food-amenities-demand-prediction;Food
anshu3769;0;2018-06-04 13:49:21;Embed public firms based on their reaction to legal decisions;Embed public firms based on their reaction to legal decisions.;Justice, Law and Regulations;Jupyter Notebook;['Jupyter Notebook: 99.9%', 'Other: 0.1%'];;https://github.com/anshu3769/FirmEmbeddings;1.0;['gensim', 'nltk', 'sklearn', 'tensorflow'];['AI', 'Decision Tree', 'ML', 'ReLu'];['NN', 'filter', 'layer', 'model', 'neural network', 'predict', 'random forest', 'rank', 'test data', 'train'];Public Firm to Legal Decision;2018-06-04 13:58:05;2020-10-31 00:42:43;0;0.0;FirmEmbeddings;Policy and Regulatory
apbecker;0;;Systemic Risk, ECB Stress Test data;ECB stress testing.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 97.8%', 'Python: 2.2%'];;https://github.com/apbecker/Systemic_Risk/;0.8;['statsmodels'];['Regression'];[];Stress Testing;2017-10-23 20:55:51;2020-10-31 00:20:25;;0.0;Systemic_Risk;Insurance and Risk
apoorv-goel;2;2018-01-18 23:53:44;Data were extracted from images that were taken from genuine and forged banknote-like specimens. For digitization, an industrial camera usually used for print inspection was used. The final images have 400x 400 pixels. Due to the object lens and distance to the investigated object gray-scale pictures with a resolution of about 660 dpi were gaine;Bank Note Authentication Using DNN Tensorflow Classifier and RandomForest.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/apoorv-goel/Bank-Note-Authentication-Using-DNN-Tensorflow-Classifier-and-RandomForest;1.0;['sklearn', 'tensorflow'];['Classification', 'ML', 'NN', 'Random Forest'];['NN', 'classif'];Bank Note Fraud Detection;2018-01-19 00:17:41;2020-10-30 23:44:08;2;0.152;Bank-Note-Authentication-Using-DNN-Tensorflow-Classifier-and-RandomForest;Physical
arcadynovosyolov;0;2017-05-15 15:41:48;Mathematical finance and quantitative methods in finance;Options, Allocation, Simulation;Finance;Jupyter Notebook;['Jupyter Notebook: 98.0%', 'Python: 2.0%'];;https://github.com/arcadynovosyolov/finance;0.8;['statsmodels'];['ML'];[];Various;2018-06-30 13:23:26;2020-10-31 00:38:29;5;0.236;finance;Trading & Investment
arcadynovosyolov;0;;Illustrative notebook for the paper published in the Journal of Derivatives;Given a portfolio and a predefined loss size, determine which factors stress (scenarios) would lead to that loss;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/arcadynovosyolov/reverse_stress_testing/;0.0;[];[];[];Reverse Stress Test;2017-03-04 17:17:22;2020-10-31 00:20:29;;0.0;reverse_stress_testing;Insurance and Risk
Architectshwet;0;2017-08-02 08:33:48;Sentiment Analysis on Amazon Fine Food Reviews Data in Python;Sentiment analysis on Amazon Fine Food Reviews;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/Architectshwet/Amazon-Fine-Food-Reviews;1.0;['nltk', 'sklearn'];['Classification', 'Logistic Regression', 'ML', 'Naive Bayes', 'Regression', 'Sentiment Analysis', 'Text Classification'];['classif', 'logistic regression', 'machine learning', 'model', 'naive bayes', 'predict', 'recommend', 'regression', 'sentiment analysis', 'train'];Fine Food Reviews;2018-06-03 19:26:30;2020-10-30 23:33:23;9;0.292;Amazon-Fine-Food-Reviews;Food
argha48;0;2019-02-13 07:16:21;Analyzing customer reviews using NLP to suggest hotel improvements. WebApp: http://www.smarthotels.city;Analyse reviews to suggest hotel improvements;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 73.8%', 'HTML: 19.9%', 'Python: 6.3%'];GPL-3.0;https://github.com/argha48/smarthotels;0.8;['gensim', 'keras', 'nltk', 'sklearn', 'spacy', 'textblob', 'vocabulary'];['AI', 'Bayesian', 'CV', 'Classification', 'DL', 'ML', 'RL', 'Sentiment Analysis'];[];Hotel Improvement;2019-04-11 17:44:37;2020-10-30 23:39:11;1;0.099;smarthotels;Accomodation
arijitsaha;0;2018-06-30 06:22:10;Study & assessment of probable impact of catastrophic flood events & manage flood risk with a first order flood-fill model developed using Python geospatial libraries;Impact of catastrophic flood events.;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/arijitsaha/FloodRisk;1.0;['sklearn'];['Clustering', 'K-Means'];['clustering', 'loss', 'model'];Flood Risk;2018-06-30 08:28:00;2020-10-31 00:36:13;19;0.362;FloodRisk;Disaster Management
arogozhnikov;8;2015-05-05 14:17:36;Machine Learning for High Energy Physics.;Machine Learning for High Energy Physics.;Physics;Jupyter Notebook;['Jupyter Notebook: 73.9%', 'Python: 26.0%', 'Shell: 0.1%'];;https://github.com/arogozhnikov/hep_ml;1.0;['keras', 'mxnet', 'pattern', 'pytorch', 'sklearn', 'theano'];['CV', 'Classification', 'Clustering', 'Decision Tree', 'GBM', 'Gradient Boosting', 'ML', 'NN', 'RL', 'Regression', 'Supervised Learning'];['classif', 'loss', 'machine learning', 'model', 'neural network', 'predict', 'rank', 'regression'];High Energy;2020-06-02 17:06:57;2020-10-31 00:47:38;129;0.518;hep_ml;Machine Learning
arrahman17;0;2019-02-08 22:39:37;Student Enrollment and Performance Analysis. This project is aim to analyse student performance and enrolment. We have collected raw data from students based on their previous grades.;Student enrolment and performance analysis.;Education & Research;Jupyter Notebook;['Jupyter Notebook: 94.8%', 'HTML: 5.2%'];;https://github.com/arrahman17/Learning-Analytics-Project-;1.0;['sklearn'];['Classification', 'Regression'];['ML', 'classif', 'detect', 'filter', 'fit', 'label', 'logistic regression', 'machine learning', 'model', 'predict', 'random forest', 'recommend', 'regression', 'train'];Student Enrolment;2019-02-28 22:38:00;2020-10-31 00:31:18;3;0.188;Learning-Analytics-Project-;Student
arvindkarir;0;2018-04-13 21:30:52;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Customer dwell time and other analysis.;Wholesale & Retail;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/arvindkarir/retail;0.3;[];['DL', 'ML'];[];Dwell Time;2018-04-21 02:31:55;2020-10-31 01:07:49;1;0.099;retail;Retail
aspuru-guzik-group;0;2017-12-20 21:41:33;Code for 10.1021/acscentsci.7b00572, now running on Keras 2.0 and Tensorflow;Generate new molecules for efficient exploration.;Biotechnological & Life Sciences;Python;['Python: 100.0%'];Apache-2.0;https://github.com/aspuru-guzik-group/chemical_vae;1.0;['keras', 'sklearn', 'tensorflow'];['AI', 'Classification', 'GRU', 'NN', 'RNN', 'Regression'];['autoencoder', 'epoch', 'gru', 'layer', 'loss', 'model', 'predict', 'recommend', 'train'];Automating Chemical Design;2020-11-25 00:39:15;2020-10-30 23:50:54;256;0.565;chemical_vae;Chemoinformatics and drug discovery
austinbrian;0;;Portfolio projects to highlight;Vote by income level analysis.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/austinbrian/portfolio/;1.0;['gensim', 'nltk', 'sklearn'];['CV', 'Classification', 'Clustering', 'Regression'];['clustering', 'model', 'natural language processing', 'predict', 'random forest'];President Vote;2017-06-23 18:39:39;2020-10-31 00:55:58;;0.0;portfolio;Election Analysis
austinbrian;0;2017-11-01 17:26:39;An assessment of sheriffs' compliance frequency with ICE detention requests;Compliance to ICE requests.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 52.5%', 'HTML: 47.1%', 'Python: 0.4%'];;https://github.com/austinbrian/sheriffs;0.8;['pattern'];['DL', 'ML', 'RL'];[];Sheriff Compliance;2020-06-05 18:22:06;2020-10-31 00:50:12;0;0.0;sheriffs;Social Policies
