title;authors;publicate_at;year;link
Syntax-Aware Language Modeling with Recurrent Neural Networks;Blythe, Akbik, Vollgraf;arxiv (03/2018);2018;https://arxiv.org/abs/1803.03665
The Projector: An Interactive Annotation Projection Visualization Tool;Akbik, Vollgraf;Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing: System Demonstrations (03/2018);2018;http://www.aclweb.org/anthology/D17-2008
Street2Fashion2Shop: Enabling Visual Search in Fashion e-Commerce Using Studio Images;Lasserre, Bracher, Vollgraf;ICPRAM 2018: Pattern Recognition Applications and Methods;2018;https://link.springer.com/chapter/10.1007/978-3-030-05499-1_1
Studio2Shop: from photo shoots to fashion articles;Lasserre, Rasch, Vollgraf;ICPRAM, Classification and Object Recognition (01/2018);2018;http://www.scitepress.org/PublicationsDetail.aspx?ID=hT0FJ9RWeJs=&t=1
Neural Simpletrons – Learning in the Limit of Few Labels with Directed Generative Networks;Forster (ext.), Sheikh, Lücke (ext.);NIPS, Learning with Limited Data (LLD) Workshop (12/2017);2017;https://lld-workshop.github.io/papers/LLD_2017_paper_6.pdf
Stochastic Maximum Likelihood Optimization via Hypernetworks;Sheikh, Rasul, Merentitis, Bergmann;NIPS, Bayesian Deep Learning Workshop (12/2017);2017;https://arxiv.org/abs/1712.01141
GANosaic: Mosaic Creation with Generative Texture Manifolds;Jetchev, Bergmann, Seward;NIPS, Machine Learning for Creativity and Design Workshop (12/2017);2017;https://arxiv.org/abs/1712.00269
The Conditional Analogy GAN: Swapping Fashion Articles on People Images;Jetchev, Bergmann;ICCV: Computer Vision for Fashion Workshop (10/2017);2017;https://arxiv.org/abs/1709.04695
CROWD-IN-THE-LOOP: A Hybrid Approach for Annotating Semantic Roles;Wang (ext.), Akbik, Li (ext.), Xia (ext.), Xu (ext.);EMNLP (09/2017);2017;http://www.aclweb.org/anthology/D17-1205
The Projector: An Interactive Annotation Projection Visualization Tool;Akbik, Vollgraf;EMNLP (09/2017);2017;http://alanakbik.github.io/papers/EMNLP2017_demo_final.pdf
Fashion-MNIST: a Novel Image Dataset for Benchmarking Machine Learning Algorithms;Xiao, Rasul, Vollgraf;arXiv (08/2017);2017;https://arxiv.org/abs/1708.07747
An LSTM-Based Dynamic Customer Model for Fashion Recommendation;Heinz, Bracher, Vollgraf;RecTemp: Workshop (08/2017);2017;
Learning Texture Manifolds with the Periodic Spatial GAN;Bergmann, Jetchev, Vollgraf;ICML (08/2017);2017;http://proceedings.mlr.press/v70/bergmann17a.html
Texture synthesis with spatial generative adversarial networks;Jetchev, Bergmann, Vollgraf;NIPS, Adversarial Learning Workshop (12/2016);2016;https://arxiv.org/abs/1611.08207
Fashion DNA: Merging content and sales data for recommendation and article mapping;Bracher, Heinz, Vollgraf;arXiv (09/2016);2016;https://arxiv.org/abs/1609.02489
