Date;Days Since Featured;Medium;Technology;Theme;link;scraped_at;subtitle;title;url;Title
2020-09-01;30;Image;['CNN', 'Face Detection'];['Abstract', 'Art', 'Portrait', 'Minimal'];https://supersize.co.il/portfolio/evolutionary-faces/;2020-12-02 00:15:36;A curve generator is pitted against a face recognition algorithm. Using an evolutionary process, the curves thrive to be more and more face-like;Matty Mariansky;https://mlart.co/item/a-curve-generator-is-pitted-against-a-face-recognition-algorithm_-using-an-evolutionary-process_-the-curves-thrive-to-be-more-and-more-face-like;Evolutionary faces
2020-02-01;30;Video;3D Ken Burns Effect;['Videoart', 'Photography'];https://medium.com/merzazine/dreaims-in-black-white-a54de34fa99f;2020-12-02 00:15:56;A montage with several 3D Ken Burns Effect generated videos from images;Merzmensch;https://mlart.co/item/a-montage-with-several-3d-ken-burns-effect-generated-videos-from-images;dreAIms: in Black&White
2020-03-01;30;Animation;GAN;Pixel Art;https://onezero.medium.com/how-i-accidentally-created-an-infinite-pixel-hellscape-fe070551365f;2020-12-02 00:16:03;A StyleGAN trained on eBoy's database of pixel art;Max Braun;https://mlart.co/item/a-stylegan-trained-on-eboy_s-database-of-pixel-art;
2020-08-01;30;Image;['GAN', 'StyleGAN'];Ukiyo-e;https://www.justinpinkney.com/stylegan-network-blending/;2020-12-02 00:16:10;Making Ukiyo-e portraits real using resolution-dependent model interpolation for StyleGAN;Justin Pinkney;https://mlart.co/item/making-ukiyo-e-portraits-real-using-resolution-dependent-model-interpolation-for-stylegan;
2020-01-01;30;Image;['GAN', 'StyleGAN'];['Environment', 'Nature', 'Climate', 'Landscape', 'Simulation', 'Systems'];https://benmoren.com/environments/clonal-colony/;2020-12-02 00:16:17;A StyleGAN trained on clonal colonies, large concentrations of genetically identical organisms, imitating the natural clonal colony phenomenon in aspen trees;Ben Moren;https://mlart.co/item/a-stylegan-trained-on-clonal-colonies_-large-concentrations-of-genetically-identical-organisms_-imitating-the-natural-clonal-colony-phenomenon-in-aspen-trees;Clonal Colony
2020-10-01;30;Video;['GAN', 'StyleGAN'];['Art', 'Abstract'];https://www.instagram.com/p/CGOnKLHnp77/?utm_source=ig_web_copy_link;2020-12-02 00:16:24;A StyleGAN trained on a dataset synthesised with analog and digital materials;Esteban Salgado;https://mlart.co/item/a-stylegan-trained-on-a-dataset-synthesised-with-analog-and-digital-materials;Anta situa
2017-01-01;30;Video;['DeepDream', 'Wavenet'];Nature;https://www.youtube.com/watch?v=5DaVnriHhPc&feature=youtu.be&ab_channel=AlexanderReben;2020-12-02 00:16:32;DeepDream applied to Bob Ross's video and sound synthesized with Wavenet;Alexander Reben;https://mlart.co/item/deepdream-applied-to-bob-ross_s-video-and-sound-synthesized-with-wavenet;
2020-10-01;30;Image;GAN;Fashion;https://www.dazeddigital.com/art-photography/gallery/29134/1/fabio-rovai;2020-12-02 00:16:39;GAN trained on GAP clothes with super-resolution;Fabio Rovai;https://mlart.co/item/gan-trained-on-gap-clothes-with-super-resolution;
2020-10-01;30;Image;['GAN', 'StyleGAN'];Textile;https://www.youtube.com/watch?v=GzHKtcPTKR4&feature=youtu.be&ab_channel=DiegoPorres;2020-12-02 00:16:46;StyleGAN-generated Mexican and Guatemalan textiles;Diego Porres;https://mlart.co/item/stylegan-generated-mexican-and-guatemalan-textiles;Threaded History
2020-10-01;30;Video;['Simplex Volume Maximization', 'Projective Non-negative Matrix Factorization'];Movie;https://concept-script.com/Errant_v2/index.html;2020-12-02 00:17:07;Automatic analysis and visualization of motion using a combination of projective non-negative matrix factorization, and Simplex Volume Maximization;Hector Rodriguez;https://mlart.co/item/automatic-analysis-and-visualization-of-motion-using-a-combination-of-projective-non-negative-matrix-factorization_-and-simplex-volume-maximization;Errant version 2
2020-10-01;30;Image;['GAN', 'Self-attention'];Art;http://www.aiartonline.com/art/hannu-toyryla/;2020-12-02 00:17:14;Custom GAN-generated image with self-attention, trained on personal photos from Finland;Hannu Töyrylä;https://mlart.co/item/custom-gan-generated-image-with-self-attention_-trained-on-personal-photos-from-finland;Euphory
2020-10-01;30;GIF;Video StyleTransfer;['Art', 'Nature'];https://www.instagram.com/p/B81F4sonfTH/;2020-12-02 00:17:21;Artistic Style Transfer for video applied to dancing flamingos in a recursive loop;Gavin Shapiro, Jeremy Torman, cYsmix;https://mlart.co/item/artistic-style-transfer-for-video-applied-to-dancing-flamingos-in-a-recursive-loop;Curse of the Dancing Flamingos
2020-02-01;30;Video;['GAN', 'Animating Landscape'];['Architecture', 'Abstract'];https://vimeo.com/392268227;2020-12-02 00:17:28;Self-Supervised Learning of Decoupled Motion and Appearance for Single-Image Video Synthesis applied to a collage of buildings;Vadim Epstein;https://mlart.co/item/self-supervised-learning-of-decoupled-motion-and-appearance-for-single-image-video-synthesis-applied-to-a-collage-of-buildings;Distime Displace
2020-03-01;30;Painting;StyleGAN;['Graffiti', 'Abstract Painting', 'NYC train graffiti'];https://alsino.io/letters-from-the-in-between;2020-12-02 00:17:36;A StyleGAN trained on thousands of frames of a filmed sequence of images of graffiti from NYC in the late 70s/early 80s. The output is interpreted into a painting and an AR filter;Alsino Skowronnek;https://mlart.co/item/a-stylegan-trained-on-thousands-of-frames-of-a-filmed-sequence-of-images-of-graffiti-from-nyc-in-the-late-70s_early-80s_-the-output-is-interpreted-into-a-painting-and-an-ar-filter;GANfitti
2019-01-01;30;Video;Corpus-based synthesis;['Culture', 'Music'];http://pkmital.com/home/corpus-based-artistic-stylization/;2020-12-02 00:17:43;Corpus-based visual synthesis applied to Miley Cyrus's Wrecking Ball;Parag K. Mital;https://mlart.co/item/corpus-based-visual-synthesis-applied-to-miley-cyrus_s-wrecking-ball;
2020-03-01;30;Video;First Order Motion;['Art', 'Politics'];https://www.youtube.com/watch?v=352Yb4mTou0&ab_channel=SvelteHardcore;2020-12-02 00:17:50;First Order Motion applied to Francis Bacon's Figure With Meat using a video of Boris Johnson;Shardcore;https://mlart.co/item/first-order-motion-applied-to-francis-bacon_s-figure-with-meat-using-a-video-of-boris-johnson;
2020-06-03;30;['Shoes', 'Product'];GAN;['Culture', 'Sport'];https://obvious-art.com/nikebyyou/;2020-12-02 00:17:57;Train a GAN on Nike shoes, generate an image, and produce a shoe collection according to the generated image;Obvious, Nike;https://mlart.co/item/train-a-gan-on-nike-shoes_-generate-an-image_-and-produce-a-shoe-collection-according-to-the-generated-image;
2020-10-01;30;Video;Pixel2style2pixel;['Art', 'Sketching'];https://twitter.com/CitizenPlain/status/1319297681890705408;2020-12-02 00:18:19;Translate Bobbo Andonova's live sketch video to a person with Pixel2style2pixel, a StyleGAN Encoder for Image-to-Image Translation;Nathan Shipley, Bobbo Andonova;https://mlart.co/item/translate-bobbo-andonova_s-live-sketch-video-to-a-person-with-pixel2style2pixel_-a-stylegan-encoder-for-image-to-image-translation;
2018-01-01;30;Video;['StyleTransfer', 'DeepDream', 'Optical Flow'];Music;https://www.youtube.com/watch?v=5WqFqzeLpXg&feature=emb_title&ab_channel=ApathiaRecords;2020-12-02 00:18:26;Style Transfer with Optical Flow and DeepDream applied to a music video;Apathia Records;https://mlart.co/item/style-transfer-with-optical-flow-and-deepdream-applied-to-a-music-video;
2020-10-01;36;Image;['GAN', 'Inpainting'];['Art', 'Religion'];https://twitter.com/obake_ai/status/1312035243302371329;2020-12-02 00:18:34;GAN inpainting of Guido Reni's Mary Magdalene;Kishi Yuma;https://mlart.co/item/gan-inpainting-of-guido-reni_s-mary-magdalene;
2020-09-01;36;Video;['pix2pix', 'Optical Flow', 'GAN'];['Art', 'Contemporary'];https://vimeo.com/451471042;2020-12-02 00:18:41;Use Pose Detect and a custom pix2pix HD to turn a dancer into sculptures and then applying Optical Flow;Scott Eaton;https://mlart.co/item/use-pose-detect-and-a-custom-pix2pix-hd-to-turn-a-dancer-into-sculptures-and-then-applying-optical-flow;
2020-09-01;36;Image;['GAN', 'Artbreeder'];['Culture', 'History'];https://www.basuterwijk.com/portfolio/G0000WVKM6MbiIAc;2020-12-02 00:18:48;Using Artbreeder to translate Jesus and other historical figures to latent vectors, and adjusting the vector to make them real;Bas Uterwijk;https://mlart.co/item/using-artbreeder-to-translate-jesus-and-other-historical-figures-to-latent-vectors_-and-adjusting-the-vector-to-make-them-real;
2020-09-01;36;Video;First Order Motion;['Humour', 'Culture'];https://www.instagram.com/p/CFQZ4YhHOC6/;2020-12-02 00:18:56;Apply First Order Motion to a collage of oil paintings, with banjo music, and based on Bella Poarch's TikTok video;Kayra Uckilinc;https://mlart.co/item/apply-first-order-motion-to-a-collage-of-oil-paintings_-with-banjo-music_-and-based-on-bella-poarch_s-tiktok-video;
2020-09-01;36;Video;['StyleGAN', 'First Order Motion', 'GAN'];['Humour', 'Culture', 'Tiktok'];https://twitter.com/CitizenPlain/status/1309941154016886790;2020-12-02 00:19:03;Using StyleGAN transfer learning and layer blending to create a cartoon of Uma Thurman and then animating her using First Order Motion with a video of Bella Poarch from TikTok;Nathan Shipley, Bella Poarch;https://mlart.co/item/using-stylegan-transfer-learning-and-layer-blending-to-create-a-cartoon-of-uma-thurman-and-then-animating-her-using-first-order-motion-with-a-video-of-bella-poarch-from-tiktok;
2020-09-01;36;Image;GAN;['Art', 'Abstract'];https://twitter.com/obake_ai/status/1302188205026897921/photo/2;2020-12-02 00:19:10;GAN interpolation inspired by Francis Bacon;Kishi Yuma;https://mlart.co/item/gan-interpolation-inspired-by-francis-bacon;
2020-09-01;36;Image;CNN;['Art', 'Nature'];https://twitter.com/soficrespo91/status/1301827894298267650;2020-12-02 00:19:31;CNN generated blend of nature posters;Sofia Crespo;https://mlart.co/item/cnn-generated-blend-of-nature-posters;
2020-09-01;36;Video;['StyleTransfer', 'Optical Flow', 'deepflow'];['Art', 'Music'];https://knownorigin.io/gallery/205000;2020-12-02 00:19:38;Optical Flow based Style Transfer of woman singing;Lulu xXX;https://mlart.co/item/optical-flow-based-style-transfer-of-woman-singing;
2020-09-01;36;GIF;['pix2pix', 'Super-Resolution', 'Super Slo Mo'];Nature;https://artificial-images.com/project/new-york-times-opinion-art-neuralink;2020-12-02 00:19:46;Next frame prediction with a Conditional GAN, Super-resolution, and Super Slo-Mo on a fish;Derrick Schultz;https://mlart.co/item/next-frame-prediction-with-a-conditional-gan_-super-resolution_-and-super-slo-mo-on-a-fish;
2020-10-01;36;GIF;['DLIB', 'CNN', 'Perlin Noise', 'DCGAN', 'Artbreeder', 'StyleGAN', 'BigGAN', 'GAN'];['Art', 'Abstract', 'Dada'];https://derivative.works/exhibits;2020-12-02 00:19:53;Train a DCGAN on Perlin Noise to generate shapes, cut the generated shapes from an Artbreeder image, the cutouts and placement are optimized with feature inversion over a face classifier;Tal Shiri, Joel Simon;https://mlart.co/item/train-a-dcgan-on-perlin-noise-to-generate-shapes_-cut-the-generated-shapes-from-an-artbreeder-image_-the-cutouts-and-placement-are-optimized-with-feature-inversion-over-a-face-classifier;
2020-09-01;36;Installation;['Face Tracking', 'Point Cloud'];Art;https://twitter.com/refikanadol/status/1304659058402631680;2020-12-02 00:20:00;Adjust a painting in real-time with a 3D point cloud and Face Tracking to create the illusion of a 3D painting;Refik Anadol;https://mlart.co/item/adjust-a-painting-in-real-time-with-a-3d-point-cloud-and-face-tracking-to-create-the-illusion-of-a-3d-painting;
2020-08-01;36;GIF;['Style Transfer', 'Background Removal', 'Optical flow', 'DeepFlow'];['Art', 'Glitch'];https://app.rarible.com/token/0x33859e4c083544e506712984b81ea3f3b551bc16:220:0x751f655ff4fbd7dd77f12e0f9ed5d0075cba1b5f;2020-12-02 00:21:17;Style Transfer, Optical Flow, and Background Removal applied to video;Lulu xXX;https://mlart.co/item/style-transfer_-optical-flow_-and-background-removal-applied-to-video;
2020-08-01;36;Image;GAN;['Art', 'Abstract'];https://www.instagram.com/p/CCljilBFs2f/;2020-12-02 00:21:24;A GAN trained on algorithmically generated art;Helena Sarin, Dmitri Cherniak;https://mlart.co/item/a-gan-trained-on-algorithmically-generated-art;
2020-08-01;36;Print;['StyleGAN', 'Lenticular', 'GAN'];['Culture', 'Movies'];https://twitter.com/latentspaceman/status/1285046367279357952;2020-12-02 00:21:43;A StyleGAN interpolation inspired by Watchmen's Doctor Manhattan on a lenticular print;Eric Anderson, Latentspaceman;https://mlart.co/item/a-stylegan-interpolation-inspired-by-watchmen_s-doctor-manhattan-on-a-lenticular-print;
2020-08-01;36;Image;GAN;Art;https://twitter.com/obake_ai/status/1302100450628444163;2020-12-02 00:21:50;GAN interpolation;Kishi Yuma;https://mlart.co/item/gan-interpolation;
2020-07-01;36;Video;GAN;Music;https://twitter.com/MassiveAttackUK/status/1281249384727003136;2020-12-02 00:21:58;GAN generated music video;Massive Attack, Mario Klingemann;https://mlart.co/item/gan-generated-music-video;
2020-07-01;36;Image;['ArtBreeder', 'GAN', 'Photoshop'];['History', 'Culture'];https://voshart.com/ROMAN-EMPEROR-PROJECT;2020-12-02 00:22:05;Using Artbreeder to translate statues of Roman emperors to latent vectors, and adjusting the vector to make them real;Daniel Voshart;https://mlart.co/item/using-artbreeder-to-translate-statues-of-roman-emperors-to-latent-vectors_-and-adjusting-the-vector-to-make-them-real;
2020-07-01;36;Image;GAN;Nature;https://www.instagram.com/p/CDQFd04FmIz/;2020-12-02 00:22:12;GAN trained on personal pictures of leafs;Helena Sarin;https://mlart.co/item/gan-trained-on-personal-pictures-of-leafs;
2020-07-01;36;Video;['StyleGAN', 'GAN'];['Art', 'Nature', 'Abstract'];https://twitter.com/howzero1913/status/1286660526773276672;2020-12-02 00:22:19;StyleGAN trained on plasma photos, displayed in a collage;Eric Anderson;https://mlart.co/item/stylegan-trained-on-plasma-photos_-displayed-in-a-collage;
2020-07-01;36;Video;['GAN', 'pix2pix'];Art;https://twitter.com/obake_ai/status/1299969180658065408;2020-12-02 00:22:26;Video transferred into next frame predictions via a Conditional GAN;Kishi Yuma;https://mlart.co/item/video-transferred-into-next-frame-predictions-via-a-conditional-gan;
2020-07-01;36;VR App;['GAN', 'VR', 'ESR-GAN', 'StyleGAN'];Nature;https://twitter.com/refikanadol/status/1285457810101157892;2020-12-02 00:22:33;Train a StyleGAN on nature images and interpolate the model inside of a VR cinema;Refik Anadol;https://mlart.co/item/train-a-stylegan-on-nature-images-and-interpolate-the-model-inside-of-a-vr-cinema;
2020-07-02;36;Video;['GAN', 'ESR-GAN', 'StyleGAN'];['Nature', 'Culture'];https://twitter.com/refikanadol/status/1278207153543630848;2020-12-02 00:22:54;A StyleGAN trained on images from Mars MRO and interpolated frame-by-frame to create a 3D effect;Refik Anadol;https://mlart.co/item/a-stylegan-trained-on-images-from-mars-mro-and-interpolated-frame-by-frame-to-create-a-3d-effect;
2020-06-01;36;Installation;GAN;['Art', 'Fashion'];https://twitter.com/obake_ai/status/1277798288809320448;2020-12-02 00:23:01;Display installation with GAN interpolations with photos of eyes with makeup;Michael Kozlowski, Kishi Yuma;https://mlart.co/item/display-installation-with-gan-interpolations-with-photos-of-eyes-with-makeup;
2020-06-01;36;Video;['StyleTransfer', 'Optical Flow', 'deepflow'];Art;https://www.youtube.com/watch?v=oQYceZjY-Fg&ab_channel=LuluxXX;2020-12-02 00:23:09;Apply Slow motion and fluid footage and Optical Flow based Style Transfer on Paradis's Recto Verso;Lulu xXX, Paradis;https://mlart.co/item/apply-slow-motion-and-fluid-footage-and-optical-flow-based-style-transfer-on-paradis_s-recto-verso;
2020-06-01;36;Video;['Quantum Computer', 'Open Pose', 'CNN'];['Bias', 'Art'];http://libbyheaney.co.uk/touch-is-response-ability-tuuch-os-tuuch-os-rispunsabilitreaeaeaea/;2020-12-02 00:23:16;Pass the pixels of a frame through a Quantum Computer and track the transition with Open Pose;Libby Heaney;https://mlart.co/item/pass-the-pixels-of-a-frame-through-a-quantum-computer-and-track-the-transition-with-open-pose;
2020-05-01;36;Image;['Classification', 'CNN'];['Bias', 'Culture'];https://twitter.com/bascule/status/1307440596668182528;2020-12-02 00:23:23;Publish two long vertical photos with Mitch McConnell and Barack Obama to unveil the bias in Twitter's auto cropping feature;Tony Arcieri Crab;https://mlart.co/item/publish-two-long-vertical-photos-with-mitch-mcconnell-and-barack-obama-to-unveil-the-bias-in-twitter_s-auto-cropping-feature;
2020-05-01;36;Demo;['StyleGAN', 'GAN', 'VR', 'First Order Motion'];Culture;https://twitter.com/fabinrasheed/status/1257595263889182720;2020-12-02 00:23:30;Give Google's voice assistant a StyleGAN face in VR and animate answers with First Order Motion;Fabin Rasheed;https://mlart.co/item/give-google_s-voice-assistant-a-stylegan-face-in-vr-and-animate-answers-with-first-order-motion;
2019-02-01;36;Image;CNN;['Art', 'Nature'];https://www.instagram.com/p/B_zxgHKIqZe/;2020-12-02 00:23:37;CNN generated blend of of birds;Sofia Crespo;https://mlart.co/item/cnn-generated-blend-of-of-birds;
2020-05-01;36;Mask;GAN;['Art', 'Culture'];https://obvious-art.com/african-mask/;2020-12-02 00:23:44;GAN trained on masks, and make the masks according to the GAN-generated images;Obvious;https://mlart.co/item/gan-trained-on-masks_-and-make-the-masks-according-to-the-gan-generated-images;
2020-05-01;36;Image;GPT;Art;https://nurecas.com/gpt3-sees;2020-12-02 00:24:05;Use GPT-3 to describe a painting step-by-step and paint it according to the instructions;Fabin Rasheed;https://mlart.co/item/use-gpt-3-to-describe-a-painting-step-by-step-and-paint-it-according-to-the-instructions;
2020-05-01;36;Image;StyleGAN;Nature;https://artificial-images.com/project/bbvday-stylegan-prints;2020-12-02 00:24:12;StyleGAN and Super-Resolution of flowers;Derrick Schultz;https://mlart.co/item/stylegan-and-super-resolution-of-flowers;
2020-05-01;36;Image;['Face Recognition', 'CNN'];['Art', 'Nature'];https://joelsimon.net/generative-portraits.html;2020-12-02 00:24:19;Use a genetic algorithm to generate faces and the dlib face classifier for the objective function;Joel Simon;https://mlart.co/item/use-a-genetic-algorithm-to-generate-faces-and-the-dlib-face-classifier-for-the-objective-function;
2020-05-01;36;Painting;['GAN', 'ESR-GAN', 'StyleGAN'];Abstract;https://twitter.com/refikanadol/status/1258279684493565952;2020-12-02 00:24:25;A StyleGAN generated image and painted on a canvas;Refik Anadol;https://mlart.co/item/a-stylegan-generated-image-and-painted-on-a-canvas;
2020-04-01;36;Installation;['Transformer', 'GPT'];['Religion', 'Contemporary'];https://twitter.com/quasimondo/status/1287770591873961984;2020-12-02 00:24:32;Generate epigrams with GPT-2 and display them on vintage time table boards;Mario Klingemann;https://mlart.co/item/generate-epigrams-with-gpt-2-and-display-them-on-vintage-time-table-boards;
